MindSphere Sales Lead APAC,Siemens Technology,Not Specified,Permanent Job,4-7 Years,MindSphere Sales Lead APAC ,"Job Description :

As the MindSphere Sales Lead APAC, you will drive sales of the Siemens MindSphere industrial Internet of Things (IIoT)-as-a-Service offering in the Asia Pacific (APAC) zone. You will be accountable for business growth and the attainment of business objectives in the zone. In the role of the Sales Lead, you will directly report to the Global Sales Lead for MindSphere and will work very closely with regional Sales Management in the APAC zone. You will be responsible for executing the go-to-market strategy in APAC and thus lead a team of Portfolio Developers, Cloud Sales Specialists, and Presales. You and your team will work in close collaboration with local Account Teams and Partners on the execution of campaigns, sales plays, and initiatives to maximize and improve software opportunities for MindSphere. What are the responsibilities of this role Responsible for the MindSphere go-to-market and target achievement in the APAC zone Act as the interface between DI SW regions and Siemens Regional Companies for industrial Internet of Things (IIoT) engagements and overall sales planning Define/refine the go-to-market strategy with priority industries, customer accounts, and initiatives to achieve the target Manage the business and target planning process and ensure targets being set are aligned with and received in each country Establish and supervise measurable goals for monitoring portfolio growth against each campaign/initiative in your region and provide feedback for improvement Plan and conduct regular business reviews with global, zone, and country leadership Collaborate with cross-functional teams to create and close new business. That specifically includes collaboration with adjacent business segments to expand Siemens overall value contribution to customers. Especially pushing the integration of the entire Siemens IIoT stack from OT (operations technologies) to IT (information technologies). Strengthen and expand the existing partner ecosystem for services. That also includes considering country-specific requirements in terms of services, local partners, and the ability to deliver projects. Establish and drive an IIoT sales community in the APAC region What will help you to be successful in this role: Solid sales management or sales experience of 4+ years in B2B software sales or Software-as-a-Service (SaaS) / Cloud sales (either coming from an IT or OT background) Proven track record in driving annual recurring revenue growth Curiosity for new technologies in OT and IT as well as creating new business models Solid understanding of IIoT and data analytics and how they generate business value for all relevant personas from shop floor to the top floor Understanding of business value created by IIoT as well as strong ability to articulate this to customers at all levels Ability to define business needs and develop value propositions and contribute to the generation of compelling proposals Excelling in building business relationships on an executive level is critical for success and an existing personal network with decision-makers in the region is a plus Experience to collaborate and get results with diverse teams across multiple internal and external organizations and various countries Outstanding communication and presentation skills in English. Additional relevant languages are a plus Industrial automation, engineering, or IT background especially in SaaS or Cloud is a plus Approximately 50% travel, when Covid has subsided Organization: Digital Industries Company: Siemens Industry Software Pte Ltd Experience Level: Experienced Professional Job Type: Full-time",IT/Computers - Hardware & Networking,"IT , Sales - Engineering/Technical/IT , Sales/Business Development",Software Engineer/Programmer,,5 days ago
Devops Manager,Unisoft Infotech Pte Ltd,144000-216000 SGD Per Annum,Permanent Job,Not Specified,Continuous Integration  Angular  Selenium  Technical Leadership  Software Development  Service Delivery  Hibernate  Leadership  Critical Thinking  Project Planning  Strategy  Team Management  apt  design control  Delivery Management ,"Expected Skill Set:
* 15+ years of working experience in IT.
* Skilled, experienced DevOps Engineers, up to speed with latest DevOps-practices, obsessed with automation and treating Infrastructure as Code.
* Consistently paying attention to failure scenarios / error handling, configuring and fine-tuning both monitoring tools as well as log collection for adequate responses to common failure scenarios, making the system self-healing and auto-scaling whenever possible.
* Consistently following practices such as a common branching strategy, naming standards, understand modern cloud-native principles such as immutable servers.
* Technologies: Openshift & Kubernates; and Infra-as-code
* Design the infrastructure and different operating environments
* Build, maintain and operate the environments, including all the automation required;
As a Senior, the DevOps engineer is expected to be hands-on and able to lead the team by example.
Ability to bootstrap a new project with good project structure and core class designs in place.",Other,IT,Other Software/Hardware/EDP,15-03-2022,4 days ago
"Demand Generation Rep, ID ENT",Amazon,Not Specified,Permanent Job,15-18 Years,,"DESCRIPTION

Job summary
Amazon Web Services (AWS), an Amazon.com Company, has been the world's leading cloud provider for more than 15 years with the most mature, comprehensive, and broadly adopted cloud platform. AWS has over 200 fully featured cloud services, managed from 81 availability zones within 25 geographic regions across the globe. Millions of customers in over 190 countries - from the fastest growing startups to the largest enterprises, through to leading government agencies - all place their trust in AWS to power their infrastructure, and deliver innovation.

At AWS, we refer to ourselves as builders. We are looking for more builders to join our growing and diverse teams in ASEAN. Learn more about a career opportunity as a Demand Generation Representative (DGR) at AWS ASEAN.

As a DGR for the Indonesian Enterprise market, you are an important member of the sales and marketing organization. You will be the frontline for our enterprise customers in their new/early stage of cloud adoption, and connect their key stakeholders to AWS. This role will actively identify and hunt key decision makers from targeted customers and leverage lead sources from various AWS marketing, sales, and external databases and help the customers start their transformational journey. DGR will profile, nurture and qualify customer leads by understanding their business issues and proposing solutions to their problems with AWS services. This role is our brand custodian who will support our customers, partners and end-users as they work with AWS and utilize our cloud technology to innovate and improve their business outcomes.

ABOUT THIS ROLE
As builders, we are here to build long-term relationships with our customers. In this role, you will Learn and Be Curious (see Amazon Leadership Principles) about the entire portfolio of AWS products and services. As a trusted advisor who is Customer Obsessed, you will listen to our customers to understand their needs, and propose AWS solutions who can solve their problems. Through customer engagements, you will identify potential sales opportunities with effective questioning and listening skills. With a strong Bias for Action, once you have qualified sales opportunities, you will follow the opportunity management processes to ensure that opportunities are handed over to appropriate sales team members, so that we can address our customers needs in a timely manner. Your success will be measured by the achievement of your opportunity creation goals.

Want to know more about what it's like to be part of our ASEAN Team at AWS Hear from our builders: ASEAN Builders

Basic Qualifications
. Professional fluency in English and Bahasa Indonesia, both written and verbal
. Experiences in sales or demand generation within the technology sector
. Sales/business development experience with Indonesian enterprise customers
. Proven success in managing time and juggling multiple tasks in a fast-paced environment where priorities shift quickly
. Clear, concise and confident communicator in-person and via phone
. Ability to profile customers from various internal/external sources to attain key business contacts
. Ability to listen to customers, understand needs, and ask clarifying/probing questions.
. Ability to think logically and structure answers, and ability to deal with ambiguity.

Preferred Qualifications
. Degree or technical background in engineering, computer science, or technology specialization (Big Data, Analytics, AI, Digital Transformation, Machine Learning)
. Foundational knowledge and understanding of existing and developing technologies that relate to cloud computing
. Experience navigating prospective accounts to reach senior executive levels to identify new customer opportunities
. Skilled at presenting technical solutions to prospects and customers

What if I'm not an expert in all the above That's okay. We hire people who have a passion for learning, and are curious to build, learn and grow. You will be supported in your career development here at AWS. You will have plenty of opportunities to build your technical, leadership, business and consulting skills. This will include formal and on the job training, and a chance to learn and upskill through AWS certification courses and mentorship. You will learn from and collaborate with some of the brightest technical minds in the industry today.

If you want to work with the best cloud technologies from the world's leading cloud provider, apply now. We can't wait to see what you build here. Come build the future with AWS.

CULTURE AND COMMITMENT TO INCLUSION, DIVERSITY & EQUITY

At AWS, we welcome all builders. We believe that technology should be built in a way that's inclusive, accessible, and equitable. We're committed to putting in the work for more equal representation

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.

Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.

BASIC QUALIFICATIONS

Basic Qualifications
. Professional fluency in English and Bahasa Indonesia, both written and verbal
. Experiences in sales or demand generation within the technology sector
. Sales/business development experience with Indonesian enterprise customers
. Proven success in managing time and juggling multiple tasks in a fast-paced environment where priorities shift quickly
. Clear, concise and confident communicator in-person and via phone
. Ability to profile customers from various internal/external sources to attain key business contacts
. Ability to listen to customers, understand needs, and ask clarifying/probing questions.
. Ability to think logically and structure answers, and ability to deal with ambiguity.
PREFERRED QUALIFICATIONS

Preferred Qualifications
. Degree or technical background in engineering, computer science, or technology specialization (Big Data, Analytics, AI, Digital Transformation, Machine Learning)
. Foundational knowledge and understanding of existing and developing technologies that relate to cloud computing
. Experience navigating prospective accounts to reach senior executive levels to identify new customer opportunities
. Skilled at presenting technical solutions to prospects and customers",Internet/E-commerce,Sales/Business Development,,08-03-2022,8 days ago
"Business Insights Analyst, APJ SSOE Business Insights and Advanced Analytics Team",Amazon,Not Specified,Permanent Job,5-8 Years,,"Job Description :
Job summary
Amazon Web Services, Inc. (AWS) enables customers of all s to run their applications on Amazon's industry-leading cloud computing infrastructure. AWS is growing very rapidly with hundreds of thousands of companies in over 190 countries on the platform. This growth is driving the need for an experienced Business Insights Analyst. Amazon has a strong culture of data-driven decision-making requiring timely, accurate, and actionable intelligence that delivers significant business value. We are looking for a hands-on and motivated self-starter who is passionate about using data to help us measure every area of the business and influence decision-making.

In this role, the Business Insights Analyst serves as the subject matter expert to fulfil data-driven decision making demands. As the successful candidate, you must be able to roll-up your sleeves and work directly with large and complex datasets. You will continuously evolve business reporting, conduct data analysis, build self-service reporting and analytical tools, and deliver business insights in an environment of rapid growth and increasing complexity.

You will be passionate about your work, detail-oriented, analytical, and possess creative problem-solving abilities. You will need to demonstrate subject matter expertise in querying and extracting large datasets and the accompanying tools and programming languages needed to work with them. You will possess good communication and project management skills, is customer obsessed and able to communicate complex business insights both verbally and in writing in a clear and precise manner.

Main responsibilities:
. Lead the development of self-service reporting and analysis by creating and owning business reports and insight products
. Conduct data analysis to solve business problems through the use of statistical and/or machine learning models
. Continuously sharpen the skillset by learning and maintaining knowledge of existing and emerging business intelligence tools
. Collaborate with the internal and global data engineering teams on the design, development and maintenance of data infrastructure including data models
. Collaborate with the internal and worldwide data science teams on the design, development and maintenance of statistical and/or artificial intelligence/machine learning (AI/ML) models

Basic Qualifications :
. Bachelor's degree with emphasis on statistical and analytical skills
. Proficiency in relational databases (Redshift, RDS, SQL Server, MySQL, etc.) and SQL for querying and extracting data
. Proficiency in at least programming languages (Python, Java, R, etc.) for data gathering, data cleansing and statistical analysis
. Expertise in data visualisation software (QuickSight, Tableau, PowerBI, QlikView, etc.) for effective data presentation
. Creative and analytical thinking to generate interesting approaches to answering business questions
. Strong and effective written and oral communication to clearly convey data findings
Preferred Qualifications :
. 5+ years of work experience as a Business Analyst
. Experience working in the Information Technology industry is highly beneficial
. Proficiency in different types of databases (relational vs. non-relational, etc.) and their relevant use cases
. Experience working with Cloud Computing
. Experience in deploying artificial intelligence/machine learning (AI/ML) models into production
. AWS certified (AWS Certified Solutions Architect - Associate, AWS Certified Data Analytics, etc.)
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.",Internet/E-commerce,Analytics/Business Intelligence,,09-03-2022,6 days ago
Solution Architect,Hyperscal Solutions Pte. Ltd.,84000-120000 SGD Per Annum,Permanent Job,10-15 Years,Web Services  Xml  Scrum  Software Engineering  Agile Methodologies  Javascript  Software Design  Java  Linux  Software Development ,"COMPANY DESCRIPTION
Beyondsoft International (Singapore) Pte. Ltd. was set up in 2007 and established as the regional headquarters for the Southeast Asia (SEA) and European markets in September 2015. Based on our vision of Using technology to promote social progress, economic development and become a global customer preferred partner and our concept of Beyond your expectations, Beyondsoft is committed to provide our customers in countries along the Belt and Road with comprehensive solutions and products and creating commercial value for customers to realizing continuous businesses development.
Our core business includes:
IT development servicesProviding customers with IT consulting, software research and development, software and hardware testing, system integration and operation and maintenance, data analysis and other services;
New retail solutions and productsThrough intelligent products, helping small and medium-sized enterprises (SMEs) realize the digital transformation of their daily operations;
Internet of Things (IoT) platform and solutionsComprehensive use of IoT, artificial intelligence, big data, cloud computing and other technologies to provide IoT solutions for intelligent upgrades in cities, parks, buildings and industries, to create a smart future.
For more information, please visit www.beyondsoft.com.
RESPONSIBILITIES
Working with relevant business units to establish set of requirements, align it with tech debt and help to build a delivery roadmap
Design solutions for new problem statements (Ex.- natural language query processing for self serve requirement, real time data visualization etc.).
Present the design in multiple review forum, socialize and build consensus.
Lead the team to build PoC for new ideas/experiments
Lead the team in solving the road blocks and guide them in the implementation
Code review and verifying design conformance
Own up security and other type of risk and guide the team to improve deliverable quality
Communicate with vendor for selecting the right product, integrate improving the needed feature
QUALIFICATIONS
Candidate for this role is expected to work with a dynamic team to build architecture and solution for mobile applications. A successful candidate is expected to have the following:
10+ years of hands on experience in enterprise architecture / solution architecture
Good experience with Java technology stack including Springboot.
Experience working with streaming technologies ( Kafka )
Understanding of micro-service architecture, basic understanding of security - authentication, authorization
Understanding of CI/CD concepts, should have used at least one automated deployment (Jenkins, Gitlab etc.)
Good working knowledge of cloud technologies at least in one public cloud - AWS, Azure, GCP
Should be a hands on coder, having focus on quality - modularization, optimization etc.
Ability to deal with ambiguity and prioritize/manage multiple tasks
Willing to listen to multiple stakeholders to bring a common solution (win-win) which meet best quality and delivery timeline
Please note that your application will be sent to and reviewed by the direct employer - Beyondsoft International (Singapore) Pte Ltd",Other,IT,Other Software/Hardware/EDP,15-03-2022,5 days ago
Cloud Infrastructure Architect,Amazon,Not Specified,Permanent Job,5-8 Years,,"Job Description :
Job summary
Are you a Senior Infrastructure Architect and a subject matter expert in AWS Networks Do you like to solve complex and large-scale compute challenges in the world today We're looking for an experienced network leader in our Global Specialty Practice (GSP) who has the ability to be a change agent for our most strategic customers looking to move their sensitive work loads into the cloud. Candidates should be knowledgeable and have hands-on experience with network concepts including routing, peering, VPNs, DNS, NFW and more. Experience working with customers across various levels, developers, IT professionals, managers, and executives is required and the ability to demonstrate and explain complex solutions. The successful candidate will get the opportunity to work with a wide array of AWS infrastructure architects and specialists, as well as being brought in as the Network expert to meet with customers and partners. This position is for a highly technical Subject Matter Expert that can dive deep, work with customers, and work with internal teams to design next generation Network architectures.

Our team collaborates across the entire AWS organization to bring access to product and service teams, to get the right solution delivered and drive feature innovation based upon customer needs. ProServe engage in a wide variety of projects for customers and partners, providing collective experience from across the AWS customer base and are obsessed about strong success for the Customer.
As a leader in the Global Specialty Practice, you will provide thought leadership and mentoring to the broader ProServe teams across APJC.

Amazon aims to be the most customer-centric company on Earth. Amazon Web Services (AWS) provides a highly reliable, scalable, low-cost infrastructure platform in the cloud that powers critical applications for hundreds of thousands of businesses in 190 countries around the world. At AWS, customer obsession is in our DNA.

This is a customer-facing role. You will be required to travel to client locations and deliver professional services as needed.

About the team
Inclusive Team Culture
Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon's culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life balance. It isn't about how many hours you spend at home or at work it's about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we're building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.
Basic Qualifications :
. 5+ years of design, implementation, or consulting experience in applications or infrastructures
. 10+ years within specific technology domain areas (e.g. software development, cloud computing, systems engineering, infrastructure, security, networking, data & analytics)
. 7+ years of experience architecting and implementing enterprise-scale networks or 5+ years and a Master degree in Networking
. Deep knowledge of IPv4 and IPv6 protocols and standards
. Deep knowledge of layer 2 technologies, including MPLS and Ethernet
. Strong track record of implementing AWS services in a variety of distributed computing environments (including experience with Transit Gateway, VPC architecture and configuration, NFW, VPNs, and EC2 load balancing)
. Hands-on experience implementing serverless architectures using AWS Lambda, or similar
. Experience in large-scale infrastructure Architecture experience, including migration experience for DC to DC and/or DC to Cloud
. Strong verbal and written communications skills are a must, as well as the ability to work effectively with customers as well as internal and external organizations and virtual teams
Preferred Qualifications :
. Experience with software development life cycle (SDLC) and agile/iterative methodologies required
. Configuration management using CloudFormation, Terraform, Chef and/or Puppet
. Experience managing data center operations, including data assurance, monitoring, alerting and notifications
. Experience with network virtualization and/or software defined networks
. Demonstrated ability to think strategically about business, product, and technical challenges
. Demonstrated ability to adapt to new technologies and learn quickly",Internet/E-commerce,IT,Software Engineer/Programmer,25-02-2022,18 days ago
Site Reliability Engineer (bank)(JT),A-it Software Services Pte Ltd,84000-96000 SGD Per Annum,Permanent Job,10-15 Years,Kubernetes  High Availability  Scripting  Unix  Core Java  Python  Docker  Ansible  Java  Databases  Linux  Technology Development  technology solutions  Reliability  Reliability Engineering  engineering design ,"Job Description
Manage high severity incidents and high customer impact incidents focusing on fast recovery
Champions production resilience and availability, focusing on superior client experience, by working with the operation team and technology development teams
Drive the implementation of Site Reliability Engineer (SRE) and Chaos Engineering design for all strategic systems
Drive effective communication between business and technology with regards to production service reliability and performance
Drive continuous improvements in processes or systems leveraging Site Reliability Engineering methods
Respond to, evaluate and analyse production incidents to minimise their impact as well as devise innovative solutions to prevent them in the future
Improve the reliability and availability of systems by gathering hard data, designing systems for increased service reliability and performance
Provide expert advice and training to our engineers as to which technology solutions and advanced reliability techniques to use on each situation
Requirements
At least 10 years of experience
Bachelor's Degree in Computer Science
Experience driving major production incidents and organise incident retrospective meetings
Experience with Core Java 8, Cloud Foundry and non-relational databases, and Linux, Unix systems
Experience with high availability, high-scale, and performant systems
Experience with python and Unix scripting",Other,"IT , Banking","Product Manager - Auto/Home/Personal Loan , Other Software/Hardware/EDP",,3 days ago
Assurance Associate/Senior,P G Wee Partnership Llp,33600-48000 SGD Per Annum,Permanent Job,0-1 Years,Microsoft Excel  Quality Assurance  External Audit  Analytical Skills  Process Improvement  Accounting  Compliance  Financial Statements  Team Player  Microsoft Word  Performance Appraisal ,"Self disciplined and motivated in a flexible hybrid work environment
Minimum Polytechnic Diploma
Undertakes specific stages of audit work under supervision by the Audit Senior/Manager.
Appreciate the underlying principles behind the tasks assigned to him/her as part of the audit plan.
Make adjustments to the application of skills to improve the work tasks or solve non-complex issues.
Build relationships, work in a team and identify ethical issues with reference to the code of professional conduct and ethics.
Select and apply from a range of known solutions to familiar problems and takes responsibility for his/her own learning and performance.
Act in accordance with applicable professional standards.
Check financial statements to validate accuracy.
Communicate effectively in a work environment.
Adapt, adopt and promote use of cloud based collaborating tools to communicate and collaborate
Contribute to effective work process improvement
Apply IT tools for efficient and effective work processes
Identify opportunities for improving clients accounting work processes",Other,Finance & Accounts,Other Finance & Accounts,,4 days ago
Senior Network Engineer,Centrics Networks Pte. Ltd.,24000-60000 SGD Per Annum,Permanent Job,2-5 Years,Technical Documentation  Network Administration  Ccnp  Scripting  Routing  Wlan  Operating Systems  Routing Protocols  Authentication  Routers  Network Security  Troubleshooting  Access Control ,"Responsibilities
Design and deploy functional networks (LAN, WLAN, WAN)
Configure and install software, servers, routers, and other network devices
Monitor network performance and integrity
Resolve issues tiers of support have escalated by troubleshooting both cloud and local
infrastructure
Knowledgeable on Cloud Solutions (e.g. Azure, AWS)
Knowledgeable on SD-WAN Solutions
Automate tasks and monitor their effectiveness
Mentor team members on technical issues
Create, oversee and test security measures (e.g. Access Authentication, 2FAs, MFAs)
Communicate with customers when needed
Maintain complete technical documentation
Able to do up project proposal and/or recommendation proposal
Suggest improvements to network performance, capacity and/or scalability to customers
Requirements
Industry-related experience as a Senior Network Engineer or Network Administrator
Professional certification (e.g. CCNP, CCDP)
Solid background in network administration and architecture
In-depth understanding of communication protocols (mainly TCP/IP) and routing protocols
(e.g. BGP, OSPF)
Familiarity with access control models and network security
Some knowledge of coding languages for scripting (e.g Python, Perl)
Experience with network diagnostic, monitoring, and analysis tools (e.g. ManageEngine)
Strong understanding of network operating systems (Cisco IOS)
Experienced in Fortinet, Cisco, Sophos, HPE, Aruba
Sharp troubleshooting skills
Ability to work independently
Organized and Systematic possessing mentoring skills
Possess strong EQ/IQ in managing people from different levels.
BSc/BA in Computer Science, Engineering or a related field
Some organizations may also have specific requirements depending on their current network
configuration. As a guide, specialization in the CCNP Routing and Switching Track (Cisco Certified
Network Professional) certification is desirable.",Other,IT,Other Software/Hardware/EDP,15-03-2022,5 days ago
Applications Support - Vice President,JP Morgan Chase & Co.,Not Specified,Permanent Job,7-10 Years,,"Job Description :

As a member of our Production Support team, you'll immediately put your love of technology into action. Each day, you and your team will be responsible for making sure our platforms, servers and networks are online and secure. You'll work together, evaluating, selecting, implementing, integrating, maintaining, upgrading, documenting and designing our infrastructure. You'll find new and creative solutions to troubleshoot and resolve issues. Communication is key, both in problem solving with your supervisors and collaborating with your coworkers, as well as other teams in the network.
The CTC Production Support team is seeking a systems administrator that combines both software and systems administration to operate and manage large-scale, massively distributed, fault tolerant systems. The Candidate will build and implement creative solutions to operations problems, including optimizing existing systems, building infrastructure, Capacity and Resilience management and eliminating work through automation. The candidate will work with various cross-functional teams, and must be able to work in a global team setting and adapt to dynamic requirements. As an administrator, you are responsible for the visualization of how our systems relate to each other while using our production tools to identify and resolve a broad spectrum of problems.
This position is anticipated to require the use of one or more High Security Access (HSA) systems. Users of these systems are subject to enhanced screening which includes both criminal and credit background checks, and/or other enhanced screening at the time of accepting the position and on an annual basis thereafter. The enhanced screening will need to be successfully completed prior to commencing employment or assignment.
Responsibilities:
Develop solutions to automate manual operational task.
Run, maintain and improve the service against established Service Level Objectives by applying software engineering principles
Responsible for the availability, performance, change management, monitoring, and capacity management of their services
Engage in with the development team throughout the life cycle to help build for reliability
Troubleshoot priority incidents, conduct flawless post-mortems and ensure permanent closure
Analyze patterns of incidents, develop permanent remediation plans, and implement automation to prevent future incidents from occurring through software engineering.
Facilitates maximum speed of delivery by objectively binding to disruptions of the service
Manage the efforts to split between manual operational work and engineering work
Part of the 24x7x365 support coverage

Qualifications:
BA/BS degree.
Minimum 7 years of relevant experience.
Strong platform skills (Linux, UNIX and Windows)
Experience in Incident, Change and Problem management process in an large scale operations
Experience with integrating solutions in a multi-vendor environment, including SaaS environments
Experience in performance engineering and monitoring using tools such as AppDynamics, Splunk, Apica, Jmeter and Dynatrace
Experience with Automation and Configuration tools like Ansible, Puppet, Chef or Evolven.
Experience with Agile and full software development life cycle disciplines
Proven ability to understand and troubleshoot complex problems under pressure
Experience working in an Agile Development environment.
Experience with scripting languages (e.g., bash, PowerShell) to automate tasks and manipulate data
Experience with one or more general purpose programming languages (e.g. Python, Java)
Experience with Capacity and Resilience management practices and procedures is beneficial
Knowledge of networking protocols is beneficial.
Industry recognized security certifications (security, networking, etc.) - strongly preferred
Experience with Splunk in one of the following areas: IT Operations, compliance, Dev-Ops, network security, and system security, supporting security event management tools (SIEMs)
Working knowledge of Splunk Cloud solution offering - not required but preferred
Good working knowledge of Cloud Engineering. Understanding of private cloud principles and exposure to public cloud offerings such as AWS, Azure, Cloud Foundry or similar technology is preferred

Our CTC Production Support Organization is filled with innovators who love technology as much as you do. Together, you'll use a disciplined, innovative and cost-effective approach to deliver a wide variety of high-quality products and services. You'll work in a stable, resilient and secure operating environment where you-and the products you deliver-will thrive.",Banking/Accounting/Financial Services,IT- Hardware/Telecom/Technical Staff/Support,,09-03-2022,6 days ago
Manager Business Accelerator (BPM),Techbridge Market Holdings Pte Ltd,Not Specified,Permanent Job,8-11 Years,,"Job Description :

Roles and Responsibilities:

We are looking for highly motivated individuals to join us and be part of the ITT Business Accelerator team. The incumbent will be the Business Partner Manager (BPM), responsible for maintaining good relationships with business units (counterparts) and supporting the business in creating/transforming applications to next-generation innovative technologies. BPM is responsible for providing stable IT Infrastructure for our business to ensure that business-oriented end-to-end IT solutions are provided in a timely fashion. BPM's role should understand strategical decisions and smart handle the business, support for growth, organize and maintain an efficient and productive workforce.

As a Business Partner Manager (BPM) - your main responsibilities will include the following:

- Align with strategy, vision, and roadmap for the products.

- Develop new ideas to support the growing business.

- Request portfolio updates and drives to the target.

- Drive, Collaborate and engage the IT Infra partner management for delivering value to the business.

- Work with various architects internally to optimize the design to develop solutions.

- Escalation management and work with the appropriate teams to resolve high-priority incidents.

- Understanding high-level information, drive the team to provide solutions, resolve problems in a timely manner.

- Knowledge of innovative technologies and cloud-native services.

- Stay aligned and attuned to customer needs and potential changes/impacts/trends in the product space (from product generation to delivery).

- Develop solutions based on customers needs, create user stories, prepare and perform user acceptance testing, and implement rollout management.

- Visualize, analyze and render the data in a presentable way to the management.

- Develop solutions based on customers needs, create user stories, prepare and perform user acceptance testing, and implement rollout management.

- Build and maintain stakeholder relationships. Take responsibility for outcomes. Foster positive relationships share information, and able to promote healthy debate.

- Brainstorm new and creative growth strategies.

Skills:

- Excellent knowledge of Infrastructure and business processes.

- Minimum 8 years of experience in IT consulting on infrastructure services and 3 years of experience working on cloud platforms (SaaS/PaaS).

- Experience in transforming the applications towards to cloud-native technologies.

- Advanced knowledge of IT (latest technologies, architectures like a hybrid, Multi, etc.).

- Experience in developing strategies and product development.

- Ability to discuss with markets and to have a product mindset.

- Experience in IT Service Management and knowledge of tools.

- Knowledge of key automation technology trends.",Recruitment/Staffing/RPO,IT,Software Engineer/Programmer,,6 days ago
